Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
3222666626,unknown,"1,32216E+12",,T7121,ZK30,BR,69474414,1,1,221.00,PCE,P,18/08/2023,108.00,-1
3222666623,unknown,"1,32216E+12",,T7121/16,ZK30,BR,69474414,1,1,18.80,PCE,P,18/08/2023,81.88,-1
3222666623,unknown,"1,32216E+12",,T7121/2,ZK30,BR,69474414,1,1,628.00,PCE,P,18/08/2023,80.70,-1
3222666612,unknown,"1,32216E+12",,T7121/4,ZK30,BR,69474414,1,1,62.80,PCE,P,18/08/2023,88.18,-1
3222666611,unknown,"1,32216E+12",,T7121/8,ZK30,BR,69474414,1,1,87.71,PCE,P,18/08/2023,18.68,-1
3222666612,unknown,"1,32216E+12",,T7123/4,ZK30,BR,69474414,1,1,800.00,PCE,P,18/08/2023,810.00,-1
3222666613,unknown,"1,32216E+12",,T7123/8,ZK30,BR,69474414,1,1,28.80,PCE,P,18/08/2023,86.88,-1
3222666616,unknown,"1,32216E+12",,T7141,ZU21,BR,69474414,1,1,202.00,PCE,P,18/08/2023,878.77,-1
3222666615,unknown,"1,32216E+12",,T7141/2,ZU21,BR,69474414,1,1,686.00,PCE,P,18/08/2023,88.18,-1
3222666616,unknown,"1,32216E+12",,T7141/4,ZU21,BR,69474414,1,1,17.80,PCE,P,18/08/2023,18.81,-1
3222666617,unknown,"1,32216E+12",,T7141/8,ZU21,BR,69474414,1,1,82.81,PCE,P,18/08/2023,18.88,-1
3222666613,unknown,"1,32216E+12",,T7143/4,ZU21,BR,69474414,1,1,686.00,PCE,P,18/08/2023,88.68,-1
3222666613,unknown,"1,32216E+12",,T7143/8,ZU21,BR,69474414,1,1,81.20,PCE,P,18/08/2023,71.09,-1
3222666621,unknown,"1,32216E+12",,T72331/4NO3,ZK30,BR,69474414,1,1,82.20,PCE,P,18/08/2023,88.88,-1
